track_id,frame,center_x,center_y
2,3,406,309
3,3,520,308
2,4,406,309
3,4,518,308
2,5,407,309
3,5,518,308
2,6,404,309
3,6,516,308
4,6,306,371
5,6,80,443
2,7,405,309
3,7,515,308
4,7,305,372
5,7,81,443
2,8,405,308
3,8,515,308
4,8,304,372
5,8,81,443
2,9,402,309
3,9,515,308
4,9,301,374
5,9,81,443
2,10,401,309
3,10,516,308
4,10,300,374
5,10,82,443
2,11,401,308
3,11,515,308
4,11,299,375
5,11,82,443
2,12,399,308
3,12,515,308
4,12,298,375
5,12,83,444
2,13,399,308
3,13,515,307
4,13,297,376
5,13,83,444
2,14,391,308
3,14,514,307
4,14,296,376
5,14,84,444
2,15,376,308
3,15,514,307
4,15,295,377
5,15,81,443
2,16,370,308
3,16,514,307
4,16,294,377
5,16,81,443
2,17,354,308
3,17,513,307
4,17,293,378
5,17,79,442
2,18,349,308
3,18,513,307
4,18,292,378
5,18,78,442
2,19,330,308
3,19,513,307
4,19,291,379
5,19,73,443
2,20,325,308
3,20,512,307
4,20,290,380
5,20,72,443
2,21,321,308
3,21,512,307
4,21,289,380
5,21,71,443
2,22,320,308
3,22,512,307
4,22,288,381
5,22,71,443
2,23,319,308
3,23,511,307
4,23,287,381
5,23,70,443
2,24,317,307
3,24,511,307
4,24,286,382
5,24,69,443
2,25,317,307
3,25,510,306
4,25,285,382
5,25,68,443
2,26,318,308
3,26,510,306
4,26,284,383
5,26,67,443
2,27,318,308
3,27,510,306
4,27,283,383
5,27,67,443
2,28,319,307
3,28,509,306
4,28,282,384
5,28,66,443
2,29,377,308
3,29,509,306
4,29,281,385
5,29,65,443
2,30,432,308
3,30,508,306
4,30,280,385
5,30,64,443
2,31,452,308
3,31,508,306
4,31,279,386
5,31,64,443
2,32,437,307
3,32,511,307
4,32,278,386
5,32,63,443
2,33,431,307
3,33,511,307
4,33,277,387
5,33,62,443
2,34,426,307
3,34,511,307
4,34,276,387
5,34,61,443
2,35,423,307
3,35,511,307
4,35,275,388
5,35,60,443
2,36,422,308
3,36,511,307
4,36,274,388
5,36,59,443
2,37,421,308
3,37,511,307
4,37,273,389
5,37,59,443
2,38,421,308
3,38,510,307
4,38,272,390
5,38,58,443
2,39,421,309
3,39,510,307
4,39,271,390
5,39,57,443
2,40,420,309
3,40,510,307
4,40,270,391
5,40,56,443
2,41,420,309
3,41,510,307
5,41,55,443
2,42,417,309
3,42,510,307
5,42,54,443
2,43,419,310
3,43,509,307
5,43,54,443
2,44,420,310
3,44,509,307
5,44,53,443
2,45,420,310
3,45,509,307
5,45,52,443
2,46,418,311
3,46,509,307
5,46,51,444
2,47,418,312
3,47,509,307
5,47,51,444
2,48,421,312
3,48,508,307
5,48,50,444
2,49,422,312
3,49,508,307
5,49,49,444
2,50,419,313
3,50,508,307
2,51,447,313
3,51,508,307
2,52,431,314
3,52,508,307
2,53,424,314
3,53,507,307
2,54,422,314
3,54,507,307
2,55,447,314
3,55,507,307
2,56,457,314
3,56,507,307
2,57,433,312
3,57,506,307
2,58,451,313
3,58,506,307
2,59,458,313
3,59,506,307
2,60,434,314
3,60,506,307
2,61,426,314
3,61,506,307
2,62,422,314
3,62,506,307
2,63,430,315
3,63,505,307
2,64,433,315
2,65,425,315
2,66,447,314
2,67,455,313
2,68,433,314
2,69,424,314
2,70,426,316
2,71,423,315
2,72,421,315
2,73,420,315
2,74,425,316
2,75,422,316
2,76,422,316
2,77,421,316
2,78,420,316
2,79,420,316
2,80,420,316
2,81,421,315
2,82,424,316
2,83,426,316
2,84,423,316
2,85,426,316
2,86,426,316
2,87,432,317
2,88,434,317
2,89,451,315
2,90,431,315
2,91,423,315
2,92,422,315
2,93,422,315
2,94,431,316
2,95,435,316
2,96,428,316
2,97,435,316
2,98,432,316
2,99,431,316
2,100,425,315
2,101,423,314
2,102,428,314
2,103,429,314
2,104,425,314
2,105,433,313
2,106,444,314
2,107,448,315
2,108,433,314
2,109,425,314
2,110,422,314
2,111,427,312
2,112,428,312
2,113,431,310
2,114,434,309
2,115,435,308
2,116,423,308
2,117,423,308
2,118,422,308
2,119,422,309
2,120,420,310
2,121,419,310
2,122,415,310
2,123,413,310
2,124,417,310
2,125,413,310
2,126,412,310
2,127,410,309
2,128,407,308
2,129,402,308
2,130,401,308
2,131,393,308
2,132,390,308
2,133,391,308
2,134,391,307
2,135,388,308
2,136,381,309
2,137,384,310
2,138,385,310
2,139,385,311
13,139,80,443
2,140,385,311
13,140,80,443
2,141,391,312
13,141,80,443
2,142,393,312
13,142,80,443
2,143,395,314
13,143,80,443
2,144,396,314
13,144,80,444
2,145,399,315
13,145,80,444
2,146,400,315
13,146,80,443
2,147,402,315
13,147,78,443
2,148,403,315
13,148,78,443
2,149,400,314
13,149,78,442
2,150,405,315
13,150,78,442
2,151,406,315
13,151,78,442
2,152,406,315
13,152,78,442
2,153,405,315
13,153,77,442
2,154,405,315
13,154,77,442
2,155,407,315
13,155,79,442
2,156,408,315
13,156,79,442
2,157,408,315
13,157,79,442
2,158,409,315
13,158,79,442
2,159,409,316
13,159,78,443
2,160,410,315
13,160,79,443
2,161,411,315
13,161,79,443
2,162,410,315
13,162,79,443
2,163,409,316
13,163,79,443
2,164,406,316
13,164,79,443
2,165,407,316
13,165,78,443
2,166,407,316
13,166,78,442
2,167,407,316
13,167,78,442
2,168,406,316
13,168,78,442
2,169,406,316
13,169,78,442
2,170,406,315
13,170,78,443
2,171,406,315
13,171,78,443
2,172,408,315
13,172,78,443
2,173,408,315
13,173,78,443
2,174,407,315
13,174,79,443
2,175,408,315
13,175,79,443
2,176,414,315
13,176,79,442
2,177,416,315
13,177,79,442
2,178,413,315
13,178,79,442
2,179,412,315
13,179,79,442
2,180,410,316
13,180,79,442
2,181,412,316
13,181,79,442
2,182,411,316
13,182,79,442
2,183,411,316
13,183,79,442
2,184,417,315
13,184,79,442
2,185,419,315
13,185,79,442
2,186,415,315
13,186,79,442
2,187,420,315
13,187,79,442
2,188,422,315
13,188,79,442
2,189,420,315
13,189,79,442
2,190,424,315
13,190,79,442
2,191,426,315
13,191,79,442
2,192,424,315
13,192,79,442
2,193,424,315
13,193,79,442
2,194,421,315
13,194,79,442
2,195,423,315
13,195,79,442
2,196,425,314
13,196,79,442
2,197,426,314
13,197,79,442
2,198,425,315
13,198,79,442
2,199,425,315
13,199,79,442
2,200,422,315
13,200,79,442
2,201,421,315
13,201,79,442
2,202,424,315
13,202,79,442
2,203,424,315
13,203,79,442
2,204,425,315
13,204,79,442
2,205,425,315
13,205,79,442
2,206,421,316
13,206,79,442
2,207,421,316
13,207,78,442
2,208,421,316
13,208,78,442
2,209,418,316
13,209,78,443
2,210,417,316
13,210,78,443
2,211,416,316
13,211,78,443
2,212,415,316
13,212,78,443
2,213,420,316
13,213,78,443
2,214,421,316
13,214,78,443
2,215,419,316
13,215,77,443
2,216,418,316
13,216,77,443
2,217,421,315
13,217,77,443
2,218,419,315
13,218,77,443
2,219,417,315
13,219,77,443
2,220,416,315
13,220,77,443
2,221,417,315
13,221,77,443
2,222,417,315
13,222,77,443
2,223,418,315
13,223,77,443
2,224,412,315
13,224,77,443
2,225,410,315
13,225,77,443
2,226,414,316
13,226,78,443
2,227,421,315
13,227,78,442
2,228,424,315
13,228,78,442
2,229,415,315
13,229,78,443
2,230,415,314
13,230,78,443
2,231,420,313
13,231,79,442
2,232,423,313
13,232,79,442
2,233,418,312
13,233,79,442
2,234,416,312
13,234,79,442
2,235,418,312
13,235,79,442
2,236,419,312
13,236,79,442
2,237,420,313
13,237,79,442
2,238,415,314
13,238,79,442
2,239,416,315
13,239,79,442
2,240,417,316
13,240,79,442
2,241,415,317
13,241,79,442
2,242,414,316
13,242,79,442
2,243,412,317
13,243,79,442
2,244,409,319
13,244,78,443
2,245,409,320
13,245,78,443
2,246,408,320
13,246,78,443
2,247,410,320
13,247,78,443
2,248,410,321
13,248,78,443
2,249,410,321
13,249,78,443
2,250,410,321
13,250,78,443
2,251,410,321
13,251,77,443
2,252,415,322
13,252,77,443
2,253,415,324
13,253,77,443
2,254,415,324
13,254,77,443
2,255,414,325
13,255,77,443
2,256,414,325
13,256,77,443
2,257,414,327
13,257,77,443
2,258,413,328
13,258,78,443
2,259,411,329
13,259,78,443
2,260,410,329
13,260,78,443
2,261,411,330
13,261,78,443
2,262,413,331
13,262,78,443
2,263,414,332
13,263,77,443
2,264,415,332
13,264,78,443
2,265,415,332
13,265,78,443
2,266,416,334
13,266,78,443
2,267,417,334
13,267,78,443
2,268,418,334
13,268,78,443
2,269,419,335
13,269,78,443
2,270,423,336
13,270,78,443
2,271,425,337
13,271,78,443
2,272,428,337
13,272,78,443
2,273,430,337
13,273,78,443
2,274,431,337
13,274,78,443
2,275,433,339
13,275,78,443
2,276,433,340
13,276,78,443
2,277,433,339
13,277,78,443
2,278,434,339
13,278,78,443
2,279,434,338
13,279,78,443
2,280,436,339
13,280,78,443
2,281,437,339
13,281,78,443
2,282,439,338
13,282,77,443
2,283,439,338
13,283,77,443
2,284,438,338
13,284,77,443
2,285,437,338
13,285,77,442
2,286,439,339
13,286,78,443
2,287,439,340
13,287,78,443
2,288,438,340
13,288,78,443
2,289,438,339
13,289,78,443
2,290,436,340
13,290,78,443
2,291,436,340
13,291,78,443
2,292,437,338
13,292,78,443
2,293,437,338
13,293,78,443
2,294,437,339
13,294,78,443
2,295,437,339
13,295,78,443
2,296,437,339
13,296,78,443
2,297,438,339
13,297,78,443
2,298,438,339
13,298,78,443
2,299,438,339
13,299,78,443
2,300,438,339
13,300,79,443
2,301,437,339
13,301,79,443
2,302,436,339
13,302,79,443
2,303,437,339
13,303,79,443
2,304,438,340
13,304,79,443
2,305,439,340
13,305,79,443
2,306,437,338
13,306,79,443
2,307,437,337
13,307,79,443
2,308,437,338
13,308,79,443
2,309,438,339
13,309,79,443
2,310,438,339
13,310,79,443
2,311,437,340
13,311,79,443
2,312,438,340
13,312,79,443
2,313,437,339
13,313,79,443
2,314,436,338
13,314,79,443
2,315,436,338
13,315,79,443
2,316,436,338
13,316,79,443
2,317,437,338
13,317,79,443
2,318,438,338
13,318,79,443
2,319,438,338
13,319,79,443
2,320,437,338
13,320,78,443
2,321,437,338
13,321,78,443
2,322,437,338
13,322,78,443
2,323,436,338
13,323,78,443
2,324,436,338
13,324,78,443
2,325,437,339
13,325,78,443
2,326,437,339
13,326,78,443
2,327,437,339
13,327,78,443
2,328,437,339
13,328,78,443
2,329,437,339
13,329,79,443
2,330,437,339
13,330,79,442
2,331,438,339
13,331,79,442
2,332,438,339
13,332,79,442
2,333,438,338
13,333,79,442
2,334,438,338
13,334,79,442
2,335,438,338
13,335,79,442
2,336,438,338
13,336,79,442
2,337,438,338
13,337,80,442
2,338,438,338
13,338,80,442
2,339,438,338
13,339,80,442
2,340,438,338
13,340,80,442
2,341,437,338
13,341,80,442
2,342,437,339
13,342,80,442
2,343,436,339
13,343,80,442
2,344,435,339
13,344,80,442
2,345,435,340
13,345,80,442
2,346,435,340
13,346,80,442
2,347,435,341
13,347,80,442
2,348,436,342
13,348,80,442
2,349,435,343
13,349,80,442
2,350,435,344
13,350,80,442
2,351,436,345
