track_id,frame,x,y
1,0,115,206
2,1,327,204
3,2,537,208
4,3,522,210
5,4,184,206
6,5,507,218
1,6,107,206
2,7,323,205
3,8,537,208
4,9,522,211
5,10,184,206
6,11,507,219
1,12,99,208
2,13,319,206
3,14,537,209
4,15,522,212
5,16,184,207
6,17,507,219
1,18,93,208
2,19,313,207
3,20,537,210
4,21,523,213
5,22,185,209
6,23,508,220
8,24,135,219
1,25,87,211
2,26,310,209
3,27,538,211
4,28,523,213
5,29,185,210
6,30,509,221
8,31,134,220
1,32,80,213
2,33,305,210
3,34,538,212
4,35,523,214
5,36,185,209
6,37,510,222
8,38,135,221
1,39,77,214
2,40,303,211
3,41,538,213
4,42,523,215
5,43,185,208
6,44,509,223
8,45,135,221
1,46,73,215
2,47,301,212
3,48,538,214
4,49,524,216
5,50,184,210
6,51,510,224
8,52,136,222
1,53,71,216
2,54,298,212
3,55,537,214
4,56,524,217
5,57,184,209
6,58,510,225
8,59,137,221
1,60,66,215
2,61,293,211
3,62,537,214
4,63,524,217
5,64,184,208
6,65,509,225
8,66,136,221
1,67,61,215
2,68,288,211
3,69,537,214
4,70,524,218
5,71,184,207
6,72,510,224
8,73,137,221
1,74,55,212
2,75,281,209
3,76,538,212
4,77,524,215
5,78,184,208
6,79,510,223
8,80,135,220
1,81,46,208
2,82,274,204
3,83,538,209
4,84,524,211
5,85,184,206
6,86,511,219
8,87,137,216
1,88,38,205
2,89,269,203
3,90,538,207
4,91,524,209
5,92,184,204
6,93,511,218
8,94,138,214
1,95,33,204
2,96,264,203
3,97,538,207
4,98,525,209
5,99,184,203
6,100,511,218
8,101,139,214
1,102,27,204
2,103,259,203
3,104,538,206
4,105,525,209
5,106,184,203
6,107,511,217
8,108,140,213
10,109,184,194
1,110,25,205
2,111,255,203
3,112,538,206
4,113,525,209
5,114,184,202
6,115,511,217
8,116,139,213
10,117,184,194
1,118,25,205
2,119,251,203
3,120,539,205
4,121,525,209
5,122,184,203
6,123,511,216
8,124,138,213
10,125,183,191
1,126,24,205
2,127,249,202
3,128,539,205
4,129,525,208
5,130,183,203
6,131,511,215
8,132,138,212
10,133,184,191
1,134,24,206
2,135,246,203
3,136,539,205
4,137,526,207
5,138,184,203
6,139,511,215
8,140,138,212
10,141,184,192
1,142,23,207
2,143,243,204
3,144,539,205
4,145,526,207
5,146,184,203
6,147,511,216
8,148,138,213
10,149,184,193
1,150,22,206
2,151,238,204
3,152,539,206
4,153,526,208
5,154,185,203
6,155,512,217
8,156,138,213
10,157,185,193
1,158,19,206
2,159,230,203
3,160,539,206
4,161,527,208
5,162,184,203
6,163,511,217
8,164,138,213
10,165,185,193
1,166,15,205
2,167,224,203
3,168,539,206
4,169,527,208
5,170,184,203
6,171,511,217
8,172,138,213
10,173,185,194
1,174,11,205
2,175,218,203
3,176,539,206
4,177,527,208
5,178,184,203
6,179,511,217
8,180,139,213
10,181,184,194
1,182,8,205
2,183,214,204
3,184,539,206
4,185,527,208
5,186,184,204
6,187,511,217
8,188,139,213
10,189,184,195
1,190,5,205
2,191,209,204
3,192,540,206
4,193,527,208
5,194,184,204
6,195,511,217
8,196,139,214
10,197,184,197
13,198,137,215
1,199,1,204
2,200,206,205
3,201,540,206
4,202,528,208
5,203,184,204
6,204,511,217
8,205,139,214
10,206,184,198
13,207,137,215
1,208,-2,204
2,209,202,204
3,210,540,206
4,211,528,208
5,212,184,204
6,213,512,217
8,214,139,214
10,215,184,198
13,216,137,215
15,217,619,199
18,218,143,215
1,219,-5,204
2,220,197,205
3,221,540,206
4,222,529,207
5,223,184,204
6,224,512,218
8,225,140,214
10,226,184,199
13,227,136,215
15,228,617,200
18,229,141,215
1,230,-9,204
2,231,195,205
3,232,540,206
4,233,530,207
5,234,184,204
6,235,512,218
8,236,141,214
10,237,184,199
13,238,136,215
15,239,616,200
18,240,141,215
1,241,-12,204
2,242,192,205
3,243,540,207
4,244,530,208
5,245,184,204
6,246,513,218
8,247,141,214
10,248,183,200
13,249,136,215
15,250,615,200
18,251,143,215
1,252,-15,203
2,253,188,205
3,254,541,207
4,255,530,208
5,256,184,204
6,257,513,218
8,258,140,214
10,259,184,200
13,260,135,215
15,261,616,201
18,262,143,215
1,263,-19,203
2,264,184,204
3,265,541,207
4,266,530,208
